,reward,wavelength,f_osc,molecule,top_score
0,886.2977553792266,886.2977553792266,0.015447,COc1c(-c2cc3oc4ccsc4c3s2)c2ccccn2c1-c1ccc(-c2ccc3[nH]c4ccc(-c5ccoc5)cc4c(=O)c3c2)c(C2=[N+]3C(=Cc4cc(-c5ccc6c(c5)-c5ccccc5S6(=O)=O)cn4[B-]3(F)F)C=C2)c1,886.2977553792266
1,439.95668358113625,439.95668358113625,0.967847,O=Cc1ccc(S(=O)(=O)c2ccccc2)cc1-c1cnc2c(-c3nc4cc(-c5nc6ccccc6nc5-c5cc6ccc7cc(-c8ccccc8)cc8ccc(c5)c6c78)ccc4s3)ccc(-c3nc4c5ccccc5c5ccccc5c4[nH]3)c2n1,886.2977553792266
2,412.66165085704773,412.66165085704773,0.51379,O=C1NC(c2cc(-c3ccc4c(c3)c3oc5ccccc5c3n4-c3ccc(-c4nnc(-c5ccc(-n6c7ccc(-c8ccc9sc%10c%11ccccc%11sc%10c9c8)cc7c7c8oc9ccccc9c8ccc76)cc5)o4)cc3)nc(-c3ccc4oc5ccccc5c4c3)n2)=C2C(=O)NC(F)=C12,886.2977553792266
3,471.0824613397166,471.0824613397166,1.740164,O=S(=O)(c1cccc(-n2cnc3ccccc32)c1)c1ccc(-c2cc(-c3nc4nc5[nH]cnc5nc4[nH]3)oc2-c2ccc3[nH]c4ccc(C5=CC6=Cc7ccc(-c8nc9scnc9s8)n7[B-](F)(F)[N+]6=C5)cc4c3c2)c(-c2ccc3oc4ccccc4c3c2)c1,886.2977553792266
4,540.6837599755789,540.6837599755789,0.077762,O=C1C(c2nc3ccc(-c4ccc5ccc(-n6c(-c7cccc8cccnc78)nc7ccccc76)nc5n4)cc3n2-c2cnc3sc4ncc(-c5cnc6cnncc6c5)cc4c3c2)=C(c2ccc3[nH]c4ccccc4c3n2)c2ccccc21,886.2977553792266
5,430.3064345954951,430.3064345954951,0.005858,c1cc(-c2ccc3c(ccc4nc5ccc6cc(-c7cc8c9ccccc9c9ccccc9c8cc7-c7ncnc(-c8ccc9nc%10cc(-c%11cnc%12oc%13ncc(-c%14cnc%15sc%16ncc(-c%17ccc%18[nH]c%19cnccc%19c%18c%17)cc%16c%15c%14)cc%13c%12c%11)ccc%10nc9c8)n7)ccc6c5nc43)c2)c2nccnc2c1,886.2977553792266
6,392.0200872672084,392.0200872672084,0.000804,Cn1c2cc(-c3cc4ccc(-c5csc6ccccc56)cc4c4cc(-c5ccc(C6=NC7=NC=NC8=NC=NC(=N6)N87)c(-c6cc7ccc8cccc9ccc(c6)c7c89)c5)c(-n5cnc6nc7[nH]cnc7nc65)cc34)sc2c2sc(-n3cnc4c5ccccc5c5ccccc5c43)cc21,886.2977553792266
7,732.7237929200403,732.7237929200403,0.053979,Cn1c2ccsc2c2sc(-c3ccc4n3[B-](F)(F)[N+]3=C(c5csc6ccccc56)C(C5=C6C=C(c7nc8cc9ncoc9cc8o7)C(C=Cc7ccc8c9ccccc9c9ccc(-c%10ccc%11sc%12c%13ccccc%13sc%12c%11c%10)cc9c8c7)=[N+]6[B-](F)(F)n6cccc65)=CC3=C4)cc21,886.2977553792266
8,518.2202424242424,518.2202424242424,0.083937,c1cnc(-c2cccc3c2[nH]c2c3ccc3c4cc(-c5cc6nc7ccoc7nc6o5)ccc4n(-c4c(-c5ccc6c7ccccc7c7nccnc7c6c5)cc5cc(-c6ccc7ccc8c(-c9ccc%10ccccc%10n9)ccc9ccc6c7c98)cc6c7cccc8ccc(-c9scc%10nccnc9%10)c(c4c56)c87)c32)nc1,886.2977553792266
9,352.2478351042673,352.2478351042673,0.80077,O=S1(=O)c2cc(-c3ccoc3)ccc2Oc2ccc(-n3c4ccc(-c5ncc(-c6cc7cc8c(cc(-c9ccc%10c(c9)c9ccccc9n%10-c9ccccc9)n8-c8ccc(B9c%10ccccc%10Oc%10cc(-c%11nc%12cc%13scnc%13cc%12s%11)ccc%109)cc8)cc7o6)[nH]5)cc4c4cc5[nH]c6ccccc6c5cc43)cc21,886.2977553792266
