,reward,wavelength,f_osc,molecule,top_score
0,346.89626199602696,346.89626199602696,0.719837,c1ccc2[nH]c(-c3ccc(-c4cc5nsnc5cc4-c4cc5sc6ccsc6c5s4)cn3)cc2c1,346.89626199602696
1,304.7567608091832,304.7567608091832,0.630807,N#Cc1cc(Cl)cc(-c2ccc(-c3cnc4[nH]c5ccccc5c4c3)c3ccccc23)c1,346.89626199602696
2,394.59021991661626,394.59021991661626,0.564781,c1ccc2c(c1)cnc1ccc(-c3ccc(-c4cc[nH]c4)c4ncc(-c5ccncn5)nc34)cc12,394.59021991661626
3,412.86777555777553,412.86777555777553,0.361843,CC1(C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)Oc4cccc6c4N5c4ccccc4O6)cnc3-n3cccc3)cc21,412.86777555777553
4,364.69156984439803,364.69156984439803,1.026393,O=Cc1cc2ccc3cccc4ccc(c1-c1nc5cc6nc(-c7cccc(C(=O)c8ccncc8)c7)oc6cc5o1)c2c34,412.86777555777553
5,455.8074813425977,455.8074813425977,0.993197,CC1(C)c2ccccc2N(C2=C3C(=O)NC(c4ccccc4)=C3C(=O)N2)c2c1ccc1c2oc2ccc(-c3c(F)cc(F)cc3F)cc21,455.8074813425977
6,417.39897993536226,417.39897993536226,0.006519,Clc1cc(Cl)c(-c2ccc3oc4ccccc4c3c2)c(Cl)c1-c1ccc2nc3cc(-c4ccc[nH]4)ccc3nc2c1,455.8074813425977
7,305.71863641967695,305.71863641967695,1.271496,O=S1(=O)c2cc(-c3ccnc4c3ccc3cccnc34)ccc2Oc2ccc(-n3ccc4cc(-c5cc6cc7ccoc7cc6[nH]5)ccc43)cc21,455.8074813425977
8,402.63758971194756,402.63758971194756,9.5e-05,O=c1c2ccccc2oc2ccc(-c3ccc4cc(-c5ccccc5)c5ccc(C6=NC7=NC=NC8=NC=NC(=N6)N87)cc5c4c3)cc12,455.8074813425977
9,342.6586877815549,342.6586877815549,0.572673,O=c1c2ccccc2oc2ccc(-n3c4ccccc4c4c5c6cc(-c7cc8nc9ccoc9nc8o7)ccc6n(-c6ncncn6)c5ccc43)cc12,455.8074813425977
10,319.68695820333653,319.68695820333653,0.619283,CCc1cc2cc3oc(-c4cccc(-c5ccccc5C(=O)c5ccncc5)c4)cc3cc2[nH]1,455.8074813425977
11,383.67381401825776,383.67381401825776,0.591689,c1ccc(N2c3ccccc3B3c4ccc(-c5cc6ccccc6[nH]5)cc4N(c4ccccc4)c4cc(-c5cccc6nc(-c7ncccn7)ccc56)cc2c43)cc1,455.8074813425977
12,297.35985849622256,297.35985849622256,2.547431,O=S(=O)(c1ccccc1)c1ccc(-c2ccc3c(c2)C2(c4ccccc4-3)c3cc(-c4ccc(-c5ccccn5)nc4)ccc3-c3ccc(-c4ccsc4)cc32)cc1,455.8074813425977
