,reward,wavelength,f_osc,molecule,top_score
0,440.0191397238883,440.0191397238883,0.001499,CC1(C)c2cc(-c3cc(-c4c5ccccc5cc5cc6ccccc6cc45)c(-c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)c(C=O)c3-c3c(-c4cc[nH]c4)ccn3-c3ccc4c(c3)C(=O)c3ccccc3-4)ccc2Nc2c1ccc1c2sc2ccccc21,440.0191397238883
1,359.6246461306416,359.6246461306416,0.16824,Clc1cc(Cl)c(-n2c3ccccc3c3ccc4c5cc(-c6ccc7nsnc7c6)cc(-c6ccc7nsnc7c6C(c6ccco6)c6c7ccccc7cc7ccc(-c8ccc9sc%10c%11ccccc%11sc%10c9c8)cc67)c5[nH]c4c32)c(Cl)c1,440.0191397238883
2,473.92757539849396,473.92757539849396,0.379398,O=C1NC(c2ccc3oc4ccccc4c(=O)c3c2)=C2C(=O)N(c3ccc4c(c3)OC=CN4)C(c3c(F)c(-c4cccc5ncccc45)c(F)c(-c4cccc5cc(-c6ccc7c(c6)-c6ccccc6S7(=O)=O)cc(C(F)(F)F)c45)c3F)=C12,473.92757539849396
3,464.4472485484173,464.4472485484173,0.809301,O=C1NC=C2C(=O)N(c3ccc(-c4c5c(cc6nsnc46)N=S=N5)c4nc5c6cc(N7C(=O)c8c(-c9ccc%10c(c9)Oc9ccccc9N%10)ccc(-c9c(-c%10ccc%11occc%11c%10)oc%10ccccc9%10)c8C7=O)c(-c7cnccn7)cc6c6ccccc6c5nc34)C=C12,473.92757539849396
4,390.40302600919455,390.40302600919455,0.006608,c1csc(-c2cnc3cccc(-c4c(-c5ccc6nsnc6c5)cc5ccc6ccc(-c7ncc(-c8cc9c%10ccc(-c%11cc%12cc%13cc[nH]c%13cc%12o%11)cc%10c%10nccnc%10c9cc8-c8nccc9nccnc89)s7)c7ccc4c5c67)c3n2)c1,473.92757539849396
5,416.8096315470988,416.8096315470988,1.231591,CCN(c1ccccc1)c1ccc(-c2ccc(B(c3ccc(-c4cccc(C(=O)c5ccncc5)c4)cc3)c3ccc(-c4ccc5c(c4)Cc4c6c(c7c(c4-5)Cc4cc(OC)ccc4-7)Cc4cc(C5=C7C=CC(c8ccoc8)=[N+]7[B-](F)(F)n7cccc75)ccc4-6)cc3)cc2)cc1,473.92757539849396
6,394.9799076138898,394.9799076138898,0.247975,CC1(C)c2ccccc2Oc2ccc(-c3ccc4[nH]c(-n5c6ccc(-c7c(-c8cc(-c9ccc%10c%11cccc%12cccc(c%13cccc9c%13%10)c%12%11)cc9ccccc89)oc8ccc(-c9ccc%10[nH]c%11cc%12c(cc%11c%10c9)oc9ccc(-c%10ccc%11nc[nH]c%11c%10)cc9%12)cc78)cc6c6[nH]c7ccccc7c65)cc4c3)cc21,473.92757539849396
7,552.8098492955235,552.8098492955235,0.004683,CC1(C)Oc2cc(-c3cc(C#N)cc(-c4c(-c5ccc6[nH]c7[nH]c8ccccc8c7c6c5)c5ccccc5n4-c4cnc(-c5nc6nc7[nH]c(-c8nc9ccccc9s8)nc7nc6[nH]5)c5nccnc45)c3)sc2-c2sc(-c3cncc4nccnc34)cc21,552.8098492955235
8,424.60340068493156,424.60340068493156,0.35394,Clc1cc(Cl)c(-c2c3ccc(-c4ccc5sc6c7cc(-c8cc9oc%10cc(-c%11ccc%12c(c%11)c%11cc(-c%13ccc%14oc%15[nH]c%16ccccc%16c%15c%14c%13)ccc%11c%11nc%13c%14cccnc%14c%14ncccc%14c%13nc%12%11)sc%10c9s8)ccc7sc6c5c4)cc3cc3cc4ccc(-c5nc6cc7nc(Br)oc7cc6o5)cc4cc23)c(Cl)c1,552.8098492955235
9,517.6360763193053,517.6360763193053,1.424476,COC=C(C=C1C(=O)c2ccccc2C1=O)c1c2ccccc2c(-c2nc3sc(-c4cncc5nccnc45)nc3s2)c2cc3ccc(-c4ccc5c(c4)C(C)(C)c4ccc6c(sc7ccccc76)c4N5)cc3c(C3=NC4=NC=NC5=NC=NC(=N3)N54)c12,552.8098492955235
10,422.6493710584626,422.6493710584626,1.330739,CC(C)(C)C1=[N+]2C(=C(c3ccc4oc5ccccc5c(=O)c4c3)c3ccc(-c4cc5c6ccccc6c6ccc(-c7cnc8sc9ncccc9c8c7)cc6c5cc4-c4cnc5cnncc5c4)n3[B-]2(F)F)C=C1c1cc2cc3c(ccn3-c3ccc4c(c3)C(C)(C)c3ccccc3O4)cc2o1,552.8098492955235
11,408.15153899331733,408.15153899331733,0.71563,c1ccc(Nn2c3ccc(-n4c5ccccc5c5ccncc54)cc3c3ccc4[nH]c5ccc(-c6c(-c7ccc8[nH]c9ccncc9c8c7)c7cccc8c9cccc%10cc(-c%11c[nH]c%12ccccc%11%12)cc(c(c6-c6cc%11c(cc6-c6nc%12cc%13ocnc%13cc%12o6)B6c%12ccccc%12Oc%12cccc(c%126)O%11)c78)c%109)cc5c4c32)cc1,552.8098492955235
12,414.9126330232247,414.9126330232247,0.050951,c1ccc2c(c1)Oc1cccc3c1N2c1ccc(-c2cn4ccccc4c2-c2cccc4ncc(-c5cc(-c6ccc7oc(Cc8ccc9sc%10c(ccc%11[nH]c%12ccccc%12c%11%10)c9c8)nc7c6)ccc5-c5cccc6cccnc56)nc24)cc1O3,552.8098492955235
13,342.6965725973631,342.6965725973631,0.099902,CC1(C)c2cc(-c3cnc(-c4ccc5sc6ccc(-n7c8ccccc8c8c9[nH]c%10ccccc%10c9c9[nH]c%10ccccc%10c9c87)cc6c(=O)c5c4)cn3)ccc2N(n2cnc3ccccc32)c2c1ccc1c2sc2ccc(-c3cnc(-c4ccc5c(c4)c4c6ccccc6oc4n5C(F)(F)F)cn3)cc21,552.8098492955235
14,386.9668945068664,386.9668945068664,0.023727,N#Cc1cc(-c2ccc3c(c2)Cc2c4c(c5c(c2-3)Cc2cc(-n3cccc3-c3cc(-n6c7ccccc7c7c6c6cc(-c8cnccn8)ccc6n7-n6c7ccccc7c7c8ccccc8[nH]c76)cc([N+](=O)[O-])c3)ccc2-5)Cc2ccccc2-4)cc(-c2c(F)cc(F)cc2F)c1,552.8098492955235
