,reward,wavelength,f_osc,molecule,top_score
0,361.1014795398282,361.1014795398282,0.048406,CC1(C)c2ccccc2Sc2ccc(-c3cc(-c4ccc5c(c4)c4c6oc7ccccc7c6ccc4n5-c4cccc([N+](=O)[O-])c4)c(-c4cccs4)cc3Nc3ccc(-c4c(S(C)(=O)=O)sc5ccccc45)cc3)cc21,361.1014795398282
1,498.008487307198,498.008487307198,0.124066,Clc1cc2cncnc2cc1-c1cc(-c2cc3sc4ccsc4c3s2)sc1-c1ccoc1-c1c2ccccc2cc2c(-c3ccc4c5ccccc5c5ccccc5c4c3)c3ccccc3c(-c3cc4c5c(c3)Oc3ccccc3N5c3ccccc3O4)c12,498.008487307198
2,347.7134728103879,347.7134728103879,0.007279,Clc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(-c3ccc4c(c3)B3c5cc(-c6c(-n7c8ccccc8c8cnccc87)c7cc(-c8nc9nc%10[nH]cnc%10nc9n8-c8ccccc8)ccc7n6-c6nc7cc8ncoc8cc7o6)ccc5Oc5cccc(c53)O4)ccc1-2,498.008487307198
3,436.79476131759736,436.79476131759736,0.005134,O=S(=O)(c1ccccc1)c1ccc(-c2cc3c4c(c2)Oc2ccc(-c5ccc6nc7ccccc7nc6c5)cc2B4c2ccc(-c4ccc(-c5nccc6nccnc56)c5nc(-c6nccc(-c7cc8c9c(c7)CCCN9CCC8)n6)ccc45)cc2O3)c(-c2ccccc2)c1,498.008487307198
4,342.48830971520124,342.48830971520124,0.331406,c1cnc2nc(-c3c(-c4cc5ccccn5c4-c4nc5cc6ocnc6cc5o4)coc3-c3ccc4c(c3)c3cc5sc6ccccc6c5cc3n4-c3ncnc(-n4c5ccccc5c5cc(-c6ccc7ccc8cccc9ccc6c7c89)ccc54)n3)ccc2c1,498.008487307198
5,484.8625122208752,484.8625122208752,0.381314,O=S1(=O)c2ccccc2-c2cc(-c3c(F)c(-c4ccc(-c5nnc(-c6ccccc6)s5)cc4)c(F)c(-c4nc5cc(-c6c7cc(-c8nc9cc%10ocnc%10cc9o8)ccc7c(-n7ccc8cc9occc9cc87)c7cc8cc(-c9ccc%10[nH]c%11ccc%12c%13ccccc%13oc%12c%11c%10c9)ccc8cc67)ccc5o4)c3F)ccc21,498.008487307198
6,392.16888502293216,392.16888502293216,0.147867,O=C1c2ccccc2S(=O)(=O)c2ccc(-c3ccc4occ(-c5cc6cc(-c7cnco7)c7ccccc7c6cc5-c5cc(C6=NC7=NC=NC8=NC=NC(=N6)N87)c(Cc6scc7nccnc67)c6nsnc56)c4c3)cc21,498.008487307198
7,494.78886184053005,494.78886184053005,0.016193,C#Cc1ccc2c(c1)c1ccc(-n3c4ccc(-n5c6ccccc6c6[nH]c7ccc(-n8c9ccccc9c9c%10cc(-c%11c(C#N)cc(C#N)cc%11C#N)ccc%10oc98)cc7c65)cc4c4cc5oc6ccc(C7=NC8=NC=NC9=NC(c%10ccc%11c%12c(cccc%10%12)C=C%11)=NC(=N7)N89)cc6c5cc43)cc1c1nccnc21,498.008487307198
8,424.6470288043292,424.6470288043292,0.117122,CC1(C)Oc2cc(-c3ccc4c(c3)Oc3cccc5c3B4c3cc(-c4c(-c6ccc7c(c6)Oc6cccc8c6N7c6ccc(-c7ccc(-c9ccc%10sc%11ccc(-c%12ccc%13[nH]c%14c(c%13c%12)c%12ccccc%12n%14-c%12c(F)cc(F)cc%12F)cc%11c%10c9)nc7)cc6O8)ccc6nsnc46)ccc3O5)sc2-c2sccc21,498.008487307198
9,633.8660173824131,633.8660173824131,0.006725,O=C1NC(=O)c2ccc3c4c(ccc1c24)C(=O)N(c1cc(-c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)c(-c2ncc(-c4ccnc5c4ccc4cccnc45)o2)nc1N1c2ccccc2C2(c4ccccc4N(c4ccc5nc[nH]c5c4)c4ccc(-c5ccc6sc7c8ccccc8[nH]c7c6c5)cc42)c2ccccc21)C3=O,633.8660173824131
10,352.6887210559254,352.6887210559254,0.990036,Cc1cccc(C)c1B(c1c(C)cc(-c2cc(-c3ccc4c(c3)-c3ccccc3S4(=O)=O)c(-n3cncc3-c3cccnc3-c3ccc(-c4nnc(-c5ccccc5)n4-c4ccccc4)cc3)nc2-c2ncccn2)cc1C)c1cc2c(ccc3nsnc32)c2nsnc12,633.8660173824131
11,391.40131009880986,391.40131009880986,0.005627,O=S(=O)(c1ccc(-c2ccc3c4ccc(-c5ccc6c(c5)c5ccccc5n6-c5c(-c6cc7cc8occc8cc7[nH]6)c6ccccc6c6ccc(-c7c(F)cc(F)c(-c8ccc9c(c8)Cc8c%10c(c%11c(c8-9)Cc8ccccc8-%11)Cc8ccccc8-%10)c7F)cc56)cc4c4nc5ccccc5nc4c3c2)cc1)c1ccc(-c2c(F)cc(F)cc2F)cc1,633.8660173824131
12,385.943013229572,385.943013229572,0.058446,CC1(C)c2cc(-c3nc4cc(-c5cc6c(=O)c7cccc8c(=O)c9cccc%10c(=O)c(c5)c6n(c87)c9%10)ccc4o3)ccc2N(c2ccc3ccc4cccc5ccc2c3c45)c2c1ccc1c2oc2ccc(N3C=COc4cc(-c5cc(C#N)cc(-c6ccc7[nH]c8ncc(-n9c%10ccccc%10c%10oc%11ccccc%11c%109)cc8c7c6)c5)ccc43)cc21,633.8660173824131
13,636.8941953048749,636.8941953048749,0.169309,Cc1cccc(C)c1B(C1=CSc2ccccc2N1)c1c(C)cc(-c2cnc(-c3ccc(S(=O)(=O)c4ccc(-c5ccc(B6c7ccccc7Nc7ccccc76)cc5)c(-c5ccc6c(c5)c5c7ccccc7oc5n6-c5cc(-c6cccc7ccccc67)ncn5)c4)cc3)cn2)cc1C,636.8941953048749
14,363.68599630400985,363.68599630400985,0.261573,COc1ccc(N(c2ccc(-c3cc4ccccc4cc3-c3c4ccccc4cc4ccccc34)cc2)c2cc(C)c(B(c3c(C)cccc3C)n3c4ccc(OC(=O)c5ccc(C(=O)ON6C=COc7ccccc76)cc5)cc4c4c5c(ccc43)[nH]c3ccccc35)c(C)c2)cc1,636.8941953048749
15,356.34809588135545,356.34809588135545,0.544015,c1ccc2c(c1)cc(-c1c(-c3cc(-c4cc5ccc6cccc7ccc(c4-c4ccc8c9ccccc9c9nccnc9c8c4)c5c67)sc3-n3c4ccccc4c4cc5sc6ccccc6c5cc43)cc3ccc4ccc(-c5cccc6nccnc56)c5ccc1c3c45)c1ccc(-c3cnc4oc5ncccc5c4c3)cc12,636.8941953048749
16,429.575888711801,429.575888711801,0.555087,CC1(C)c2cc(-c3cccc4c3[nH]c3c4ccc4c5cc(-c6c7ccccc7cc7cc8ccccc8cc67)ccc5[nH]c43)ccc2-c2ccc(N3C(=O)c4c(-c5ccc(-c6nnc(-c7ccccc7)n6-c6ccccc6)cc5)ccc(-n5c(-c6cc7cc8ccoc8cc7n6S(C)(=O)=O)nc6c7ccccc7c7ccccc7c65)c4C3=O)cc21,636.8941953048749
17,394.30159330873937,394.30159330873937,0.148352,CC1(C)CCCC(C)(C)N1c1ccc2[nH]c3c(ccc4c5cccc(N6C=C7C(=O)NC=C7C6=O)c5n(-c5ccc6c(c5)c5cc(-n7c8ccccc8c8c9[nH]c%10ccccc%10c9c9c(c%10ccccc%10n9-c9ccc(-c%10ccc%11c(c%10)c%10ccccc%10c%10nccnc%11%10)c%10n[nH]nc9%10)c87)ccc5n6-c5nccs5)c43)c2c1,636.8941953048749
18,423.7616822749333,423.7616822749333,1.03791,O=C(OC1=[N+]2C(=C(c3nc4cc5sc(-n6c7ccc(-c8cnc9sc%10ncc(-c%11nc%12cc%13scnc%13cc%12s%11)cc%10c9c8)cc7c7cccnc76)nc5cc4s3)c3cccn3[B-]2(F)F)C=C1)c1ccc(C(=O)Oc2ccc3ccc(-c4ccc5ccccc5c4)nc3n2)cc1,636.8941953048749
19,428.5661700656758,428.5661700656758,2.005903,O=S1(=O)c2ccccc2-c2cc(-c3c(-n4c5ccccc5c5cc6sc7ccccc7c6cc54)cc4c5ccc(-n6c7ccccc7c7c8c(ccc76)[nH]c6ccc(-c7ccc9c%10ccccc%10c%10ccccc%10c9c7)cc68)c6c(-c7ccc(Nc8ccccc8)cc7)ccc(c7c(-c8cccc9ccccc89)c(-c8cc9ccccn9c8)cc3c47)c65)ccc21,636.8941953048749
20,428.32927865680927,428.32927865680927,1.035844,CC1(C)c2cc(-c3cccc4cccnc34)ccc2Nc2c1ccc1c2oc2ccc(-n3c4ccc(-c5cc6n(c5-c5nccn7ccnc57)[B-](F)(F)[N+]5=CC=CC5=C6)cc4c4sc5ccc(-c6oc7ccc(-c8ccc(-c9cc(-c%10ccccc%10)ncn9)cc8)cc7c6-c6ccc7c(c6)-c6ccccc6S7(=O)=O)cc5c43)cc21,636.8941953048749
21,458.26720754019595,458.26720754019595,0.005035,O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)Oc3ccccc3B4c3ccc(N(c4ccc(-c5cnc6sc7ncc(-c8cc9c(ccc%10nccnc%109)c9nccnc89)cc7c6c5)cc4)c4ccc(-c5ccc6cccc(-c7cc8sc9cc(-n%10c%11ccccc%11c%11oc%12ccccc%12c%11%10)sc9c8s7)c6n5)cc4)cc3)cc21,636.8941953048749
