,reward,wavelength,f_osc,molecule,top_score
0,314.02713388379516,314.02713388379516,0.094432,CCc1c(OC)c2cc(-c3ccc4oc5ccccc5c(=O)c4c3)ccc2n1-c1cn2ccnc2cn1,314.02713388379516
1,311.97270645664537,311.97270645664537,0.360527,O=[N+]([O-])Cc1ccccc1-c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2cnc3oc4ncccc4c3c2)cc1,314.02713388379516
2,412.01712415259874,412.01712415259874,0.675036,Nc1ccc(B(c2ccccc2)c2ccc(-c3ccc4c(c3)Sc3cc(-c5ncc(Br)o5)ccc3N4)cc2)cc1,412.01712415259874
3,434.98646809107817,434.98646809107817,1.284602,Fc1cc(F)c(F)c(-c2ccc3c(c2)Oc2cc(C(F)(F)F)cc4c2N3c2ccc(-c3cc5oc6cc(-c7ccccc7)sc6c5s3)cc2O4)c1F,434.98646809107817
4,491.63009239065786,491.63009239065786,0.431455,O=C1c2cc(-c3c[nH]cn3)ccc2S(=O)(=O)c2ccc(-c3nc(-c4nc5sc(-c6ccc7c(c6)OC=CN7)nc5s4)cn4ncnc34)cc21,491.63009239065786
5,529.2815069370331,529.2815069370331,0.056568,C1=C(c2cnccn2)Nc2ccc(-c3ccc4c5ccc(-c6cc7cncnc7cc6-c6ncncn6)cc5c5ccccc5c4c3)cc2S1,529.2815069370331
6,331.15436164529916,331.15436164529916,0.141877,COc1ccc(-c2ccc(-c3ccc4[nH]c5ccc(-c6ccc7c(c6)S(=O)(=O)c6cc(-c8cc9ccccc9o8)ccc6O7)cc5c(=O)c4c3)cn2)nc1,529.2815069370331
7,362.6859529033202,362.6859529033202,1.465589,CC1(C)c2cc(-c3ccc4cc5ccccc5cc4c3)ccc2Oc2ccc(-n3c4ccc(F)cc4c4cc(C=C5C(=O)c6ccccc6C5=O)ccc43)cc21,529.2815069370331
8,345.08111275014613,345.08111275014613,5.3e-05,O=[N+]([O-])c1cccc(-c2ccc3oc4c(c3c2)c2ccccc2n4-c2nc(-c3cnc4cnncc4c3)cc(-c3nc4c5ccccc5c5ccccc5c4[nH]3)n2)c1,529.2815069370331
9,414.1918654372954,414.1918654372954,2.641524,C=Cc1cc2c(s1)-c1sc(-c3nc4cc5nc(-c6cc(-c7ccc8c(c7)C(=O)c7ccccc7S8(=O)=O)cc([N+](=O)[O-])c6)oc5cc4o3)cc1C(C)(C)O2,529.2815069370331
10,336.44729586714067,336.44729586714067,4.276146,CC1(C)c2cc(-c3ccc4sc5c6cc(-c7cc8c(ccc9nsnc98)c8nsnc78)ccc6sc5c4c3)ccc2-c2ccc(-c3cnc(-c4ccccc4)o3)cc21,529.2815069370331
11,383.7450648426135,383.7450648426135,0.67924,O=c1c2ccccc2oc2ccc(-c3c[nH]cc3-c3cc4cccc5c6cccc7cccc(c(c3-c3ccc8sc9c%10cc(-c%11cc%12ccccc%12o%11)ccc%10sc9c8c3)c45)c76)cc12,529.2815069370331
