,reward,wavelength,f_osc,molecule,top_score
0,353.60406411316774,353.60406411316774,0.37296,O=[N+]([O-])c1cn(-c2ccc3c(c2)B(c2ccccc2)c2ccccc2N3c2ccc3nsnc3c2-c2ccccc2)c2ccccc12,353.60406411316774
1,427.9005798101812,427.9005798101812,0.005221,Fc1cnc2oc3ccc(-c4ccc5c(-c6c(F)c(F)cc(F)c6F)c6cc(-c7ccc8nc9ccccc9nc8c7)ccc6cc5c4)cc3c2c1,427.9005798101812
2,327.40287042171695,327.40287042171695,0.134796,CC1(C)c2ccccc2Sc2ccc(-c3ccc4c(C=O)cc5cc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)c(Cl)cc5c4c3)cc21,427.9005798101812
3,339.9341787075371,339.9341787075371,0.161932,c1cc(-c2cc3ncncc3cc2-c2c(-c3nc4cc5ocnc5cc4o3)cc3ccc4ccc(-n5cnc6nc7[nH]cnc7nc65)c5ccc2c3c45)ncn1,427.9005798101812
4,370.96580994554483,370.96580994554483,0.47579,O=C1C(=Cc2cc(-c3cc4nc5ccoc5nc4o3)cc3c(-c4ccc(-c5ccccn5)nc4)cc(-c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)cc23)C(=O)c2ccccc21,427.9005798101812
5,343.09486952431024,343.09486952431024,0.954934,CC1(C)c2cc(-c3nccs3)ccc2Sc2ccc(-c3ccc4ccc5cc(-c6cc7ccccn7c6)c(-c6nc7cc8ocnc8cc7o6)c6ccc3c4c56)cc21,427.9005798101812
6,437.6582053725864,437.6582053725864,0.0262,O=c1c2ccccc2oc2ccc(-c3ccc4c(c3)Sc3cc(-c5cc6ccccc6o5)ccc3N4c3cc4ccc(-c5ccoc5)c5c6cccc7cccc(c(c3)c45)c76)cc12,437.6582053725864
7,387.4021778527684,387.4021778527684,1.89606,O=[N+]([O-])c1cc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)c2ccc3ccc(-c4nc5cc6oc(-c7ccc8[nH]c9ccc%10c%11ccccc%11oc%10c9c8c7)nc6cc5o4)c4ccc1c2c34,437.6582053725864
8,377.4482251583049,377.4482251583049,0.063395,Fc1c(F)c(-c2ccc3c4c(ccc(-c5cnc(-c6cc7ccccn7c6)cn5)c24)-c2nccnc2-3)c(F)c(F)c1-c1c[nH]c2ccccc12,437.6582053725864
9,600.5822175934896,600.5822175934896,0.606484,O=C1C(=Cc2ccc3c(c2)OC=CN3c2cc3cncnc3cc2-c2cc3c4ccccc4n(-c4ccsc4)c3cn2)C(=O)c2ccccc21,600.5822175934896
10,405.2698100872749,405.2698100872749,1.998382,Clc1cc(Cl)c(-n2c3ccc(-c4cc5cccc6c7cc(-c8ccc9ccccc9c8)cc8c(-c9cc%10nc%11ccoc%11nc%10o9)ccc(c(c4)c56)c87)cc3c3sc4ccccc4c32)c(Cl)c1,600.5822175934896
11,334.05413714131754,334.05413714131754,0.155369,c1ccc2c(c1)[nH]c1sc3ccc(-c4ccc5c(c4)c4cnccc4n5-c4ccc5sc6ccc(Nc7ncco7)cc6c5c4)cc3c12,600.5822175934896
12,396.53370326542364,396.53370326542364,0.306143,CS(=O)(=O)c1c2ccccc2c(-c2ccc3oc4[nH]c5ccccc5c4c3c2)c2cc(C3=NC4=NC=NC5=NC(N)=NC(=N3)N45)ccc12,600.5822175934896
13,351.17031949243756,351.17031949243756,0.204177,CCc1ccc2scc(-c3c[nH]c(-c4ccc5oc6c(c5c4)c4ccccc4n6-n4c5ccccc5c5cc6[nH]c7ccccc7c6cc54)c3)c2c1,600.5822175934896
14,424.2401813515826,424.2401813515826,0.325323,O=C1c2ccccc2C(=O)c2cc(-c3[nH]c(-c4ccc(B5c6ccccc6Nc6ccccc65)cc4)nc3CCc3ccc4c(ccc5ccccc54)c3)ccc21,600.5822175934896
15,444.35593505841877,444.35593505841877,0.208265,O=C1c2cc(-c3ccc4ccc(-c5cc6cccc7c8cc(-c9ccc%10sc%11c%12ccccc%12sc%11c%10c9)cc9cccc(c(c5)c67)c98)cc4c3)ccc2-c2ccc(-c3ncc[nH]3)cc21,600.5822175934896
16,503.4277773266201,503.4277773266201,1.624586,CC1(C)Oc2ccsc2-c2sc(C3=C4C=C(c5cnc6c(-c7cccc([N+](=O)[O-])c7)cccc6n5)C(c5ccc6ocnc6c5)=[N+]4[B-](F)(F)n4cccc43)cc21,600.5822175934896
17,360.2097414294015,360.2097414294015,0.001673,O=C(Oc1cc2nsnc2cc1-c1ccc2ccccc2n1)c1ccc(C(=O)ON2c3ccccc3Oc3cc(-c4coc5ccccc45)ccc32)cc1,600.5822175934896
18,566.655361060329,566.655361060329,0.083433,O=C1C(c2c(F)c(F)cc(F)c2F)=C(c2occc2-c2cccc3ncc(-c4ccc5sc6ccccc6c5c4)nc23)c2ccccc21,600.5822175934896
19,479.6664848344166,479.6664848344166,0.955719,c1ccc2c(-c3ccc4sccc4c3)c3c(-c4cc(-c5cc6c(ccc7nccnc76)c6nccnc56)co4)c4ccccc4c(-c4nc5cc6ocnc6cc5o4)c3cc2c1,600.5822175934896
20,517.6576886142542,517.6576886142542,0.515631,O=[N+]([O-])c1cc(-c2ccc(N3c4ccccc4Oc4cc(-c5c(Cl)c(Cl)cc(Cl)c5Cl)ccc43)c3nn(-c4ccc(-c5nnc(-c6ccccc6)s5)cc4)nc23)cc([N+](=O)[O-])c1,600.5822175934896
21,398.9067050609698,398.9067050609698,0.617318,O=c1c2ccccc2[nH]c2ccc(-c3ccc4cc5cc(-c6cccn6-c6ccc7oc8ccccc8c7c6)ccc5c(-c5nc6nc7[nH]cnc7nc6[nH]5)c4c3)cc12,600.5822175934896
22,335.2736425094646,335.2736425094646,1.114781,c1ccc2c(c1)[nH]c1ccc(-c3ccc(-c4nnc(-c5ccc(-c6cc(-n7c8ccccc8c8ccccc87)[nH]c6-c6ccc7c8ccccc8c8nccnc8c7c6)cc5)s4)cc3)cc12,600.5822175934896
23,497.6486834711407,497.6486834711407,0.510457,O=c1c2ccccc2oc2ccc(-c3ccc4[nH]c5c(c4c3)c3cc(-c4cc6ccccc6n4-c4nccn6ncnc46)ccc3n5-c3c4c(cc5nsnc35)N=S=N4)cc12,600.5822175934896
24,364.8847611760205,364.8847611760205,0.065114,c1ccc2[nH]c(-c3cc4ccc5cc(-c6nc7cc8ocnc8cc7o6)c(-c6ccc7[nH]c8c(c7c6)c6ccccc6n8-c6cnc7ccccc7n6)c6ccc(c3)c4c56)cc2c1,600.5822175934896
