,reward,wavelength,f_osc,molecule,top_score
0,516.4716862451054,516.4716862451054,3.337655,Fc1ccc2n1[B-](F)(F)[N+]1=C(c3cc4oc5ccsc5c4s3)C(c3cn4ccnc4cn3)=CC1=C2c1sc(-c2ccc3oc(-c4ccc5oc6ccc(-n7ccnc7)cc6c5c4)nc3c2)c2nccnc12,516.4716862451054
1,367.65469560833856,367.65469560833856,2.502965,C#Cc1scc(-c2ccc3c4cc(-c5nc6sc(-c7ccncn7)nc6s5)ccc4c4cc(-c5ccccc5)ccc4c3c2)c1-c1cc2cc3ccn(C#C)c3cc2o1,516.4716862451054
2,449.8211116351631,449.8211116351631,0.058171,C1=Cc2ccc(-c3cc(-n4c5ccccc5c5c6c7cc(-c8ncccc8-c8scc9nccnc89)ccc7n(-c7cc8nc9ccoc9nc8o7)c6ccc54)[nH]c3-c3cccc4cccc(-c5ccc6cnc7ccccc7c6c5)c34)c3cccc1c23,516.4716862451054
3,385.870943948212,385.870943948212,0.011981,C1=NC2=NC=NC3=NC(c4ccc5c6cc(-c7ccc8cncnc8c7)c(-c7cc(-c8cccc9c8[nH]c8c9ccc9c%10ccccc%10[nH]c98)ccc7-c7ccc(-c8ccc9cc(-n%10c%11ccccc%11c%11cc%12oc%13ccccc%13c%12cc%11%10)c%10ccccc%10c9c8)nc7)cc6c6nc7ccccc7nc6c5c4)=NC(=N1)N23,516.4716862451054
4,329.55237095316573,329.55237095316573,0.003565,C=Cc1ccc2[nH]c3c4cc(-c5ccc6c(c5)c5ccc7c8cc(-c9ccc(S(=O)(=O)c%10ccc(-c%11cccc%12c(-c%13ccc%14ccc%15cccc%16ccc%13c%14c%15%16)cccc%11%12)cc%10)cc9)cc(-c9ccc%10sc%11[nH]c%12ccccc%12c%11c%10c9)c8[nH]c7c5n6-n5ccnc5)ccc4sc3c2c1,516.4716862451054
5,504.88330414952964,504.88330414952964,0.710412,N#Cc1c(C2=[N+]3C(=Cc4cc(-n5nc6ccccc6n5)cn4[B-]3(F)F)C=C2c2ccsc2)c(C#N)c(-c2c(C#N)c(-c3c(F)cc(F)cc3F)cc3nsnc23)c(C#N)c1-c1c(F)cc(F)cc1F,516.4716862451054
6,448.37332923477504,448.37332923477504,0.261172,C1=CN(c2nc3cc4nc(-c5occc5-c5ccc6c(-c7ccn(-c8ccc(B9c%10ccccc%10Oc%10ccccc%109)cc8)c7-c7ccc8c(c7)C7(c9ccccc9-c9ccc(-c%10nc%11ccccc%11o%10)cc97)c7ccccc7-8)c7cc8ccccc8cc7cc6c5)oc4cc3o2)c2ccccc2O1,516.4716862451054
7,360.06328919091595,360.06328919091595,0.681399,c1ccc2c(c1)[nH]c1ccc3[nH]c4ccc(-n5c(-c6ccc7sc8c9cc(-c%10ccc%11scc(-c%12ccc%13c(c%12)c%12c(c%14ccccc%14n%12-c%12ccc%14c%15ccccc%15c%15ccc(-c%16cc%17sc%18ccsc%18c%17s%16)cc%15c%14c%12)n%13-c%12ccc%13[nH]c%14ccncc%14c%13c%12)c%11c%10)ccc9sc8c7c6)cc6cc7ccoc7cc65)cc4c3c12,516.4716862451054
8,365.49788632745714,365.49788632745714,0.735226,CC1(C)c2cc(-c3cn4ccnc4cn3)ccc2S(=O)(=O)c2ccc(-c3ccc(-c4c(-c5ccc6c(-c7ccc8c(c7)c7ccc(-c9ccc%10ncc%11ccccc%11c%10c9)cc7c7nccnc87)cccc6c5-c5coc6ccccc56)[nH]c5ccccc45)c4nsnc34)cc21,516.4716862451054
9,476.60564695932965,476.60564695932965,2.206303,O=[N+]([O-])c1cc(-n2c3ccc(-n4c5ccc(N6c7ccccc7B(c7ccccc7)c7cc(Br)ccc76)cc5c5cc6c7cc(-c8sc(-c9ccc%10c%11c(cccc9%11)-c9nccnc9-%10)c9nccnc89)ccc7n(-c7ccnc8c7ccc7cccnc78)c6cc54)cc3c3ccncc32)cc([N+](=O)[O-])c1,516.4716862451054
