,reward,wavelength,f_osc,molecule,top_score
0,475.9104598495317,475.9104598495317,0.043549,CS(=O)(=O)c1nc(-c2ccoc2)nc(-c2c[nH]c(-c3ccc4c5c(cccc35)C=C4)c2)n1,475.9104598495317
1,432.70929047569194,432.70929047569194,0.005062,c1cnc(-c2ncc(-c3ccc4c5ccccc5c5nccnc5c4c3)s2)c(-c2nc3cc4oc(-c5ccc6nc7ccccc7nc6c5)nc4cc3o2)c1,475.9104598495317
2,488.24207686855164,488.24207686855164,0.452668,CCc1ccc2ccc3c(-c4nc5cc6nc(-c7ccc8c(c7)SC=CN8)oc6cc5o4)cc(-c4ccc5[nH]c6ccncc6c5c4)c4ccc1c2c43,488.24207686855164
3,333.6226703979765,333.6226703979765,0.374542,O=c1c2ccccc2n(-c2ccc(-c3ccccn3)nc2)c2ccc(-c3ncc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc3-c3c(Cl)c(Cl)cc(Cl)c3Cl)cc12,488.24207686855164
4,447.7095042068393,447.7095042068393,0.628626,O=C1NC(c2cc3oc4ccsc4c3s2)=C2C(=O)N(n3c4ccccc4c4c5cc(-c6c(F)c(F)cc(F)c6F)ccc5n(-c5ccc6ccccc6c5)c43)C=C12,488.24207686855164
5,478.4448290499344,478.4448290499344,0.078579,C1=C(c2cccc(-c3ccc4c(c3)B3c5ccccc5Oc5cccc(c53)O4)n2)c2ccc(-c3cc4ccccn4c3)c3c(-c4ccccn4)ccc1c23,488.24207686855164
6,588.914610744312,588.914610744312,0.000345,c1ccc2c(c1)Nc1ccccc1N2Cn1ccnc1-c1cncn1-c1cc2ccc3cccc4ccc(c1)c2c34,588.914610744312
7,418.9787543930792,418.9787543930792,0.30219,Nc1ccc2c(-c3ccc4c(c3)S(=O)(=O)c3ccccc3O4)c(-c3ccc4ccccn34)cc3c4cccc5cc(-c6nc7cc8scnc8cc7s6)cc(c1c23)c54,588.914610744312
8,407.45405041243555,407.45405041243555,0.975081,O=C(Oc1cc2c3c(c(-c4nc5cc6scnc6cc5s4)cc4c3c1C(=O)NC4=O)C(=O)NC2=O)c1ccc(C(=O)Oc2cccc3cc(-c4ccsc4)ccc23)cc1,588.914610744312
9,468.4482298711603,468.4482298711603,0.674167,O=C1C2=C(N3c4ccccc4C4(c5ccccc5Nc5ccccc54)c4cc(-c5cncs5)ccc43)N(c3ccc4c(ccc5ccccc54)c3)C(=O)C2=CN1c1ncccn1,588.914610744312
10,447.4994333357396,447.4994333357396,0.004588,FC1=CC2=Cc3cc(-c4cccc(-n5c6ccccc6c6c7c8ccccc8n(N8C=COc9ccccc98)c7ccc65)c4)cn3[B-](F)(F)[N+]2=C1,588.914610744312
11,733.8079604640152,733.8079604640152,0.016554,CC1(C)c2ccsc2-c2sc(N3C(=O)c4ccc5c6c(c(-c7ccc8c(c7)c7ccccc7n8-c7ccccc7)cc(c46)C3=O)C(=O)N(c3nccn3C#N)C5=O)cc21,733.8079604640152
12,545.3210459183673,545.3210459183673,0.105182,O=Cc1cc2c(cc1N1C=CSc3ccccc31)c1ccc(-c3ccc4oc5c6cc(-c7ccc(B(c8ccccc8)c8ccccc8)cc7)ccc6[nH]c5c4c3)cc1c1nccnc21,733.8079604640152
13,475.0352222222223,475.0352222222223,0.485787,CC1(C)CCCC(C)(C)N1c1cc2ccc3cc(-c4c(-c5cc6ccccn6c5)cc5c6cccc7cccc(c8c(-c9c%10c(cc%11nsnc9%11)N=S=N%10)ccc4c58)c76)cc4ccc(c1)c2c34,733.8079604640152
